Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,DZA,High-technology exports (current US$),,,,,,,,6815093.0,8596814.0,4615916.0,5377821.0,3565016.0,2215525.0,3256008.0,4033112.0,2549728.0,4844795.0,9027398.0,,,,
East Asia & Pacific (excluding high income),EAP,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,High-technology exports (current US$),,,,,,,,,,,85615820055.0,100216340941.0,101185915425.0,,110158116220.0,105441479457.0,104677243773.0,147576352420.0,158126376394.0,163219341612.0,,
East Asia & Pacific,EAS,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,High-technology exports (current US$),,,,,,,,,,9703771437.0,11366752944.0,14685650913.0,18707377235.0,21096891609.0,22713542335.0,22201614611.0,20591218228.0,20867938406.0,20633822932.0,22504847810.0,18645871652.0,
Europe & Central Asia,ECS,High-technology exports (current US$),,,,,,,,676833957299.0,726870509346.0,623241775290.0,694156823241.0,784138112833.0,765729185149.0,795642952524.0,826361949093.0,761923318650.0,784307588700.0,757607796065.0,810706272799.0,823616230282.0,749860124017.0,830453488400.0
Ecuador,ECU,High-technology exports (current US$),,,,,,,,,80058801.0,53101699.0,146115719.0,59881533.0,55266062.0,78368915.0,81594902.0,103054631.0,111063506.0,93241535.0,68768817.0,67994135.0,52973237.0,77485368.0
"Egypt, Arab Rep.",EGY,High-technology exports (current US$),,,,,,,,,98833692.0,84124957.0,104581857.0,133427058.0,78780352.0,72676207.0,168393198.0,89647031.0,56095790.0,73845752.0,125216603.0,323853851.0,343563046.0,526183188.0
Euro area,EMU,High-technology exports (current US$),,,,,,,,483896834359.0,513502245392.0,443513622454.0,480719546004.0,536202066977.0,528363067125.0,548811608466.0,568897846479.0,516530732359.0,537694328128.0,531713632806.0,570443861170.0,579328492156.0,526429524096.0,575244348605.0
Eritrea,ERI,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,High-technology exports (current US$),,,,,,,,10502552067.0,11248660432.0,10374405678.0,11504349325.0,13554458627.0,13768258934.0,14479326037.0,14664458406.0,13109480801.0,15598981400.0,14928178719.0,15483660258.0,15036520591.0,15725222510.0,23455675754.0
Estonia,EST,High-technology exports (current US$),,,,,,,,890687379.0,976499926.0,669184110.0,1253040816.0,2547547118.0,2356378964.0,2546304397.0,2708974331.0,2052941145.0,2105999082.0,1843541921.0,1907601625.0,1734953949.0,2169210605.0,2680431401.0
Ethiopia,ETH,High-technology exports (current US$),,,,,,,,,8353730.0,6989321.0,9180496.0,5739492.0,8248200.0,5593277.0,24227835.0,15626132.0,10502624.0,7925744.0,9903650.0,44073889.0,43185591.0,
European Union,EUU,High-technology exports (current US$),,,,,,,,561531382660.0,602956350661.0,521111610284.0,569386564749.0,639339448845.0,619596166032.0,642203614936.0,666708060421.0,607989582137.0,631850388735.0,631089420864.0,682653437128.0,692282989927.0,642558570608.0,700717202426.0
Fragile and conflict affected situations,FCS,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,High-technology exports (current US$),,,,,,,,15796195880.0,16911189065.0,8741499653.0,7052255634.0,6421361831.0,5472474945.0,4694179888.0,5102532558.0,4250872228.0,3966656452.0,4404742624.0,4515414590.0,4563213722.0,4419533476.0,5489674612.0
Fiji,FJI,High-technology exports (current US$),,,,,,,,,5262584.0,5167974.0,5152322.0,5386999.0,2769706.0,2715493.0,3352286.0,2259048.0,3397552.0,4217990.0,4667871.0,6263592.0,11123689.0,1950223.0
France,FRA,High-technology exports (current US$),,,,,,,,85771313939.0,98755787407.0,87885947635.0,105238742390.0,111877556068.0,114060869490.0,118708423591.0,120586813434.0,109607526938.0,108744117954.0,108779749957.0,117574883771.0,120534304793.0,87120395046.0,97528027435.0
Faroe Islands,FRO,High-technology exports (current US$),,,,,,,,135174.0,6442960.0,358803.0,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,High-technology exports (current US$),,,,,,,,68857350336.0,67496532150.0,48644842352.0,66714274846.0,75783351756.0,73147759484.0,74696893576.0,76014219847.0,74578603459.0,73806480005.0,73689913071.0,75580036686.0,76894056310.0,58143796335.0,66699915640.0
Georgia,GEO,High-technology exports (current US$),,,,,,,,,,14814975.0,12436474.0,12154187.0,20048798.0,21318338.0,26436678.0,34242243.0,16319720.0,21231757.0,25120318.0,19340653.0,14030862.0,16886696.0
Ghana,GHA,High-technology exports (current US$),,,,,,,,,,,9147352.0,23761633.0,74462160.0,62181757.0,96024073.0,89337078.0,21056625.0,41163371.0,50006674.0,9928827.0,,
Gibraltar,GIB,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,High-technology exports (current US$),,,,,,,,,,,,,,989751.0,3601290.0,2455734.0,799556.0,,,,,
"Gambia, The",GMB,High-technology exports (current US$),,,,,,,,,,,,22564.0,12713.0,24497.0,,738.0,,2090.0,6065.0,402.0,1274.0,
Guinea-Bissau,GNB,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,High-technology exports (current US$),,,,,,,,1121316170.0,1561594807.0,1363598372.0,1293767639.0,1402430838.0,1137984308.0,950028748.0,1337146195.0,1328836225.0,1415185301.0,1383993671.0,1754801960.0,1778203351.0,2006301947.0,2239206199.0
Grenada,GRD,High-technology exports (current US$),,,,,,,,,,,78111.0,70689.0,195833.0,195026.0,1221586.0,355897.0,2988674.0,331597.0,1278881.0,796929.0,112035.0,90309.0
Greenland,GRL,High-technology exports (current US$),,,,,,,,1700118.0,486704.0,300791.0,13306187.0,1773158.0,3325948.0,919559.0,257025.0,12776481.0,2115984.0,1743349.0,487974.0,,,
Guatemala,GTM,High-technology exports (current US$),,,,,,,,125890879.0,157357035.0,149657665.0,228548345.0,198224980.0,208074794.0,213666508.0,229706419.0,249132210.0,259700358.0,246966672.0,255865387.0,241814990.0,300037201.0,332468059.0
Guam,GUM,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,High-technology exports (current US$),,,,,,,,411706.0,70848.0,16213.0,74241.0,95679.0,41530.0,119766.0,105393.0,90066.0,161359.0,254735.0,82753.0,95124.0,1133987.0,571289.0
High income,HIC,High-technology exports (current US$),,,,,,,,,,1195178537654.0,1289703072790.0,1389058230216.0,1369408309924.0,1397451471395.0,1432771234818.0,1350261458116.0,1355009212340.0,1651467377375.0,1784666729415.0,1738448437621.0,1689115092784.0,
"Hong Kong SAR, China",HKG,High-technology exports (current US$),,,,,,,,2650434346.0,2354312809.0,1999986479.0,2527686279.0,1223151926.0,962301471.0,680834176.0,540921228.0,453112350.0,469851567.0,293607838562.0,330081516897.0,322026746842.0,340121877076.0,431628771877.0
Honduras,HND,High-technology exports (current US$),,,,,,,,9813708.0,,15498509.0,19523512.0,12063500.0,39629273.0,,44609834.0,18698692.0,37759500.0,45740962.0,29002647.0,12597313.0,,
